Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Geo ID,Sales,Quantity,Discount,Profit,Order Year,Order Month,Order Month Name,Order Quarter,Order Day of Week,Year-Quarter,Year-Month,Shipping Days,Profit Margin (%),Revenue Per Unit,Has Discount,Is Profitable,Estimated Cost,Discount Amount
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-BO-10001798,385,261.96,2,0.0,41.9136,2016,11,November,4,Tuesday,2016Q4,2016-11,3,16.0,130.98,0,1,220.05,0.0
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-CH-10000454,385,731.94,3,0.0,219.582,2016,11,November,4,Tuesday,2016Q4,2016-11,3,30.0,243.98,0,1,512.36,0.0
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,OFF-LA-10000240,498,14.62,2,0.0,6.8714,2016,6,June,2,Sunday,2016Q2,2016-06,4,47.0,7.31,0,1,7.75,0.0
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,FUR-TA-10000577,341,957.5775,5,0.45,-383.031,2015,10,October,4,Sunday,2015Q4,2015-10,7,-40.0,191.52,1,0,1340.61,783.47
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,OFF-ST-10000760,341,22.368,2,0.2,2.5164,2015,10,October,4,Sunday,2015Q4,2015-10,7,11.25,11.18,1,1,19.85,5.59
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-FU-10001487,499,48.86,7,0.0,14.1694,2014,6,June,2,Monday,2014Q2,2014-06,5,29.0,6.98,0,1,34.69,0.0
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-AR-10002833,499,7.28,4,0.0,1.9656,2014,6,June,2,Monday,2014Q2,2014-06,5,27.0,1.82,0,1,5.31,0.0
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,TEC-PH-10002275,499,907.152,6,0.2,90.7152,2014,6,June,2,Monday,2014Q2,2014-06,5,10.0,151.19,1,1,816.44,226.79
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-BI-10003910,499,18.504,3,0.2,5.7825,2014,6,June,2,Monday,2014Q2,2014-06,5,31.25,6.17,1,1,12.72,4.63
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-AP-10002892,499,114.9,5,0.0,34.47,2014,6,June,2,Monday,2014Q2,2014-06,5,30.0,22.98,0,1,80.43,0.0
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-TA-10001539,499,1706.184,9,0.2,85.3092,2014,6,June,2,Monday,2014Q2,2014-06,5,5.0,189.58,1,1,1620.87,426.55
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,TEC-PH-10002033,499,911.424,4,0.2,68.3568,2014,6,June,2,Monday,2014Q2,2014-06,5,7.5,227.86,1,1,843.07,227.86
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,OFF-PA-10002365,404,15.552,3,0.2,5.4432,2017,4,April,2,Saturday,2017Q2,2017-04,5,35.0,5.18,1,1,10.11,3.89
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,OFF-BI-10003656,627,407.976,3,0.2,132.5922,2016,12,December,4,Monday,2016Q4,2016-12,5,32.5,135.99,1,1,275.38,101.99
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-AP-10002311,146,68.81,5,0.8,-123.858,2015,11,November,4,Sunday,2015Q4,2015-11,4,-180.0,13.76,1,0,192.67,275.24
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-BI-10000756,146,2.544,3,0.8,-3.816,2015,11,November,4,Sunday,2015Q4,2015-11,4,-150.0,0.85,1,0,6.36,10.18
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,OFF-ST-10004186,189,665.88,6,0.0,13.3176,2014,11,November,4,Tuesday,2014Q4,2014-11,7,2.0,110.98,0,1,652.56,0.0
